Location_ID,City,State,Area,Latitude,Longitude,Road_Type,Transport_Mode,Passenger_Count,Passenger_Demand,Vehicle_Count,Road_Occupancy_Percent,Traffic_Status,Traffic_Speed_kmh,Weather_Condition,Parking_Availability_Percent,Emission_Level_g_km,Average_Travel_Time_Min,Date
GEO-0026,Bengaluru,Karnataka,Central,12.91153,77.61296,Main Road,Metro,123,125,171,55.11,High,31,Clear,30.2,99.32,54,2026-01-12 21:00:00
GEO-0027,Hyderabad,Telangana,East,17.431795,78.457896,City Road,Train,103,152,210,61.52,Severe,6,Rain,13.41,135.91,42,2026-01-11 09:00:00
GEO-0028,Kolkata,West Bengal,North,22.631404,88.385685,City Road,E-Rickshaw,747,884,129,42.78,Severe,17,Hazy,82.68,159.45,30,2026-03-02 01:00:00
GEO-0029,Coimbatore,Tamil Nadu,East,11.030822,76.930457,Main Road,Bus,489,723,121,49.39,High,27,Cloudy,95.22,43.15,26,2026-07-28 02:00:00
GEO-0030,Visakhapatnam,Andhra Pradesh,Central,17.613453,83.189906,City Road,Train,396,519,63,59.63,Moderate,30,Rain,63.69,49.6,31,2026-05-23 11:00:00
GEO-0031,Lucknow,Uttar Pradesh,South,26.843086,80.995831,Expressway,Train,861,799,484,99.79,Low,30,Cloudy,21.3,89.9,42,2026-03-22 16:00:00
GEO-0032,Pune,Maharashtra,Central,18.571259,73.936044,Ring Road,Bus,247,327,80,24.71,Moderate,33,Clear,91.12,34.44,57,2026-07-14 15:00:00
GEO-0033,Indore,Madhya Pradesh,North,22.667393,75.792115,Ring Road,Metro,62,79,467,60.23,Moderate,36,Hazy,91.51,39.76,40,2026-06-12 19:00:00
GEO-0034,Nagpur,Maharashtra,West,21.114665,79.109325,Main Road,E-Rickshaw,973,1248,65,79.76,High,18,Cloudy,35.2,113.1,13,2026-05-03 16:00:00
GEO-0035,Nagpur,Maharashtra,North,21.167976,79.094514,Ring Road,Taxi,313,310,452,65.22,Low,55,Hazy,1.6,120.35,20,2026-08-06 03:00:00
GEO-0036,Chennai,Tamil Nadu,East,13.117631,80.284744,City Road,E-Rickshaw,692,642,447,17.41,High,33,Clear,10.52,135.68,43,2026-04-29 09:00:00
GEO-0037,Indore,Madhya Pradesh,East,22.714821,75.927204,Expressway,Metro,249,329,381,43.68,High,33,Rain,28.23,39.35,48,2026-05-11 05:00:00
GEO-0038,Hyderabad,Telangana,South,17.423197,78.400491,Highway,Train,614,767,394,49.14,High,29,Hazy,53.29,44.99,49,2026-02-08 17:00:00
GEO-0039,Kolkata,West Bengal,South,22.524955,88.291568,City Road,Bus,590,466,337,34.49,High,28,Clear,68.37,31.37,43,2026-01-29 00:00:00
GEO-0040,Jaipur,Rajasthan,North,26.946098,75.876064,Ring Road,Taxi,650,755,219,72.61,Severe,11,Hazy,36.11,105.92,56,2026-04-22 13:00:00
GEO-0041,Chennai,Tamil Nadu,South,13.081513,80.188258,Main Road,Train,54,65,412,59.39,Moderate,35,Cloudy,85.05,160.06,36,2026-05-16 05:00:00
GEO-0042,Hyderabad,Telangana,East,17.349948,78.421971,City Road,Train,458,410,16,22.54,Low,56,Rain,80.28,206.64,35,2026-07-11 18:00:00
GEO-0043,Hyderabad,Telangana,South,17.381122,78.473245,Ring Road,Taxi,141,106,272,89.03,Moderate,40,Cloudy,46.0,196.34,16,2026-04-15 06:00:00
GEO-0044,Kochi,Kerala,North,9.934121,76.226173,Expressway,Metro,244,304,351,90.77,Moderate,53,Rain,86.69,57.96,18,2026-03-03 04:00:00
GEO-0045,Nagpur,Maharashtra,West,21.071142,79.025297,City Road,Auto,518,545,218,92.65,High,22,Hazy,98.49,123.64,55,2026-06-24 22:00:00
GEO-0046,Surat,Gujarat,South,21.195882,72.820453,City Road,Auto,609,677,32,67.54,Moderate,52,Cloudy,96.53,151.82,40,2026-01-07 09:00:00
GEO-0047,Nagpur,Maharashtra,West,21.135025,79.066567,Main Road,Metro,802,729,482,19.82,High,28,Rain,64.37,43.53,44,2026-05-30 21:00:00
GEO-0048,Lucknow,Uttar Pradesh,West,26.73015,80.968559,City Road,Auto,208,253,280,65.85,High,30,Hazy,57.09,105.38,12,2026-03-20 01:00:00
GEO-0049,Pune,Maharashtra,Central,18.491732,73.88124,Ring Road,Bus,441,651,203,43.45,High,25,Rain,53.13,207.56,9,2026-07-30 11:00:00
GEO-0050,Chennai,Tamil Nadu,East,13.11588,80.189064,Expressway,Train,116,146,486,61.87,Moderate,54,Rain,70.97,173.6,42,2026-03-31 06:00:00
GEO-0051,Pune,Maharashtra,East,18.474531,73.822332,Main Road,Metro,453,412,230,38.97,Moderate,35,Rain,66.17,89.65,38,2026-07-22 07:00:00
GEO-0052,Coimbatore,Tamil Nadu,Central,11.03004,76.937989,Highway,E-Rickshaw,406,593,92,91.18,Severe,16,Rain,16.58,64.97,29,2026-08-02 15:00:00
GEO-0053,Lucknow,Uttar Pradesh,South,26.856478,80.942043,City Road,Metro,958,1020,224,30.97,High,19,Hazy,10.62,156.46,25,2026-08-03 07:00:00
GEO-0054,Lucknow,Uttar Pradesh,South,26.886127,80.893278,Highway,Bus,521,607,174,68.35,Severe,7,Hazy,87.23,77.48,11,2026-02-26 16:00:00
GEO-0055,Mumbai,Maharashtra,South,19.058245,72.881989,City Road,Bus,198,217,107,97.46,Low,34,Cloudy,42.89,228.63,54,2026-06-28 18:00:00
GEO-0056,Delhi,Delhi,East,28.607635,77.136482,Ring Road,Bus,676,781,286,86.26,Severe,19,Clear,34.17,249.21,59,2026-01-24 20:00:00
GEO-0057,Kochi,Kerala,West,9.982764,76.230625,City Road,Auto,225,293,40,90.66,Low,41,Clear,27.44,29.02,15,2026-05-16 05:00:00
GEO-0058,Pune,Maharashtra,Central,18.532578,73.887523,Expressway,Train,650,524,297,99.67,Moderate,55,Hazy,2.79,37.83,9,2026-04-27 14:00:00
GEO-0059,Pune,Maharashtra,East,18.596194,73.803486,City Road,Bus,863,1242,423,22.99,Moderate,44,Hazy,37.65,204.31,14,2026-01-05 20:00:00
GEO-0060,Mumbai,Maharashtra,East,19.073246,72.847546,City Road,Taxi,346,493,339,18.04,Low,70,Hazy,47.82,240.99,31,2026-08-06 03:00:00
GEO-0061,Ahmedabad,Gujarat,East,22.962838,72.6009,Main Road,Bus,601,479,413,73.35,Moderate,30,Clear,48.07,79.45,46,2026-03-05 02:00:00
GEO-0062,Kolkata,West Bengal,West,22.518864,88.324384,Main Road,Taxi,536,481,329,92.16,Low,52,Cloudy,60.29,149.14,56,2026-02-13 06:00:00
GEO-0063,Lucknow,Uttar Pradesh,South,26.788721,80.908918,Expressway,Train,295,401,194,61.38,Low,8,Clear,68.85,118.9,25,2026-04-14 17:00:00
GEO-0064,Mumbai,Maharashtra,North,19.075424,72.900051,Expressway,E-Rickshaw,585,745,88,88.28,High,24,Clear,77.35,63.7,58,2026-06-14 13:00:00
GEO-0065,Coimbatore,Tamil Nadu,East,10.957523,76.961155,Main Road,Taxi,241,330,115,55.34,Moderate,44,Cloudy,71.42,56.03,15,2026-05-08 17:00:00
GEO-0066,Indore,Madhya Pradesh,South,22.741942,75.717804,Ring Road,Auto,425,360,419,92.22,High,30,Cloudy,94.45,153.47,28,2026-07-28 18:00:00
GEO-0067,Mumbai,Maharashtra,Central,19.124358,72.866768,Highway,Bus,940,897,301,67.34,Moderate,55,Clear,3.5,248.44,6,2026-03-26 21:00:00
GEO-0068,Mumbai,Maharashtra,Central,19.044795,72.871674,Expressway,Metro,915,796,105,29.63,Severe,20,Rain,6.52,227.03,34,2026-05-05 10:00:00
GEO-0069,Delhi,Delhi,South,28.624927,77.217016,Ring Road,Train,866,668,225,52.12,Moderate,34,Rain,98.72,76.37,9,2026-04-12 13:00:00
GEO-0070,Nagpur,Maharashtra,North,21.183231,79.104498,City Road,Bus,909,963,139,93.6,Moderate,50,Clear,91.36,131.7,30,2026-06-03 00:00:00
GEO-0071,Chennai,Tamil Nadu,West,13.112461,80.206905,Highway,E-Rickshaw,436,565,308,59.21,Moderate,49,Hazy,3.46,241.84,10,2026-02-25 07:00:00
GEO-0072,Nagpur,Maharashtra,East,21.142134,79.144302,City Road,Metro,620,630,128,65.48,Low,12,Hazy,34.7,208.47,39,2026-02-01 18:00:00
GEO-0073,Nagpur,Maharashtra,West,21.181309,79.090153,City Road,E-Rickshaw,549,811,158,96.68,Severe,13,Hazy,50.46,218.88,34,2026-06-16 22:00:00
GEO-0074,Kolkata,West Bengal,South,22.657563,88.376363,Ring Road,Auto,1000,1276,123,57.79,Moderate,41,Rain,71.9,32.28,29,2026-04-17 04:00:00
GEO-0075,Pune,Maharashtra,South,18.526825,73.86794,Main Road,Taxi,720,900,464,19.29,High,25,Clear,50.09,249.65,14,2026-05-24 20:00:00
GEO-0076,Coimbatore,Tamil Nadu,East,10.984806,76.90565,Expressway,E-Rickshaw,169,200,467,56.85,High,16,Hazy,43.86,219.23,27,2026-04-29 01:00:00
GEO-0077,Kochi,Kerala,East,9.933296,76.284333,Main Road,Train,905,808,490,32.9,High,24,Hazy,3.5,157.83,43,2026-05-28 15:00:00
GEO-0078,Chennai,Tamil Nadu,Central,13.07241,80.242459,Main Road,Train,487,552,59,60.91,Moderate,43,Clear,56.92,42.7,7,2026-04-07 12:00:00
GEO-0079,Ahmedabad,Gujarat,East,23.069651,72.578133,City Road,Auto,407,583,488,73.86,High,34,Hazy,59.43,224.43,38,2026-02-04 18:00:00
GEO-0080,Hyderabad,Telangana,South,17.36837,78.5517,Highway,Train,476,440,238,21.06,Moderate,51,Hazy,60.81,117.71,27,2026-05-30 04:00:00
GEO-0081,Kolkata,West Bengal,East,22.541725,88.28867,City Road,Taxi,546,772,257,85.99,High,30,Rain,56.76,193.53,21,2026-05-20 21:00:00
GEO-0082,Mumbai,Maharashtra,West,18.989334,72.920955,Highway,Train,439,484,354,40.39,Severe,8,Cloudy,27.68,171.65,34,2026-07-30 06:00:00
GEO-0083,Chennai,Tamil Nadu,East,13.02556,80.270388,Ring Road,Train,91,99,314,24.25,High,32,Clear,5.92,35.97,16,2026-04-27 23:00:00
GEO-0084,Ahmedabad,Gujarat,West,22.99899,72.503828,City Road,Auto,958,994,60,71.16,Moderate,46,Hazy,77.29,174.46,50,2026-08-03 22:00:00
GEO-0085,Ahmedabad,Gujarat,East,23.012983,72.525469,Ring Road,Taxi,767,981,263,28.2,High,24,Hazy,98.43,67.16,56,2026-06-12 02:00:00
GEO-0086,Kochi,Kerala,Central,9.823519,76.246086,Ring Road,Bus,92,115,32,41.01,High,18,Hazy,0.64,129.56,24,2026-04-04 08:00:00
GEO-0087,Nagpur,Maharashtra,South,21.122772,79.106864,Expressway,Bus,941,1390,482,20.7,Moderate,54,Hazy,64.07,186.94,51,2026-06-09 02:00:00
GEO-0088,Jaipur,Rajasthan,East,26.90435,75.822661,Main Road,Taxi,564,768,229,38.26,High,22,Rain,73.94,74.93,36,2026-01-26 09:00:00
GEO-0089,Coimbatore,Tamil Nadu,East,11.104843,76.921464,Highway,E-Rickshaw,903,1099,53,39.22,High,26,Clear,5.0,87.1,26,2026-02-07 02:00:00
GEO-0090,Hyderabad,Telangana,West,17.367306,78.486392,Ring Road,Taxi,578,615,34,29.04,Severe,10,Cloudy,42.66,28.61,37,2026-05-27 04:00:00
GEO-0091,Chennai,Tamil Nadu,East,13.021747,80.238568,City Road,Bus,446,418,205,55.45,High,35,Rain,62.15,169.74,27,2026-05-14 11:00:00
GEO-0092,Nagpur,Maharashtra,North,21.162384,78.987414,Ring Road,Train,926,726,381,75.23,High,18,Clear,78.67,90.39,31,2026-01-15 22:00:00
GEO-0093,Nagpur,Maharashtra,East,21.10291,79.099529,City Road,Train,823,729,150,32.92,Moderate,54,Cloudy,92.39,157.68,53,2026-07-04 19:00:00
GEO-0094,Indore,Madhya Pradesh,South,22.714628,75.883442,Expressway,Auto,613,582,48,63.87,Severe,19,Clear,18.55,69.16,16,2026-02-19 03:00:00
GEO-0095,Kolkata,West Bengal,East,22.597189,88.404614,Expressway,Bus,871,969,403,31.68,Moderate,51,Hazy,1.79,109.57,28,2026-02-28 19:00:00
GEO-0096,Mumbai,Maharashtra,Central,18.997646,72.837766,Main Road,Train,25,28,369,60.16,Low,34,Cloudy,40.08,71.34,52,2026-06-20 16:00:00
GEO-0097,Pune,Maharashtra,West,18.451026,73.898309,Expressway,Taxi,309,420,437,86.05,High,32,Clear,18.55,86.08,27,2026-02-02 06:00:00
GEO-0098,Surat,Gujarat,North,21.276797,72.680841,Expressway,Train,879,684,405,64.29,Severe,6,Clear,20.78,26.7,12,2026-04-19 16:00:00
GEO-0099,Mumbai,Maharashtra,North,19.050529,72.8851,Highway,E-Rickshaw,444,384,438,40.07,Moderate,35,Hazy,42.51,76.31,15,2026-04-13 00:00:00
GEO-0100,Surat,Gujarat,North,21.181423,72.853292,Highway,Bus,452,506,118,71.71,Moderate,54,Cloudy,49.73,204.18,10,2026-02-02 00:00:00
GEO-0101,Delhi,Delhi,South,28.64927,77.214121,Highway,E-Rickshaw,746,989,206,27.65,Severe,14,Cloudy,2.99,92.78,40,2026-02-03 21:00:00
GEO-0102,Kochi,Kerala,Central,9.903215,76.27778,Main Road,E-Rickshaw,809,821,416,72.63,High,23,Rain,59.84,127.41,54,2026-01-15 03:00:00
GEO-0103,Indore,Madhya Pradesh,South,22.722416,75.854726,Ring Road,Taxi,243,278,239,85.34,High,21,Cloudy,97.43,159.09,9,2026-02-24 16:00:00
GEO-0104,Nagpur,Maharashtra,South,21.056156,79.074989,City Road,Bus,624,669,415,41.78,Moderate,48,Hazy,60.7,133.82,48,2026-02-01 09:00:00
GEO-0105,Lucknow,Uttar Pradesh,South,26.922411,80.951321,Main Road,Auto,448,367,62,73.37,Moderate,53,Clear,11.8,164.68,51,2026-02-25 17:00:00
GEO-0106,Jaipur,Rajasthan,South,26.915772,75.783261,Main Road,Metro,104,128,254,64.88,Moderate,43,Hazy,32.18,203.51,26,2026-06-24 15:00:00
GEO-0107,Visakhapatnam,Andhra Pradesh,Central,17.707949,83.263754,City Road,E-Rickshaw,636,755,219,90.86,Low,6,Clear,66.43,207.61,54,2026-03-03 20:00:00
GEO-0108,Hyderabad,Telangana,South,17.448315,78.556616,Ring Road,Metro,965,885,443,41.7,High,35,Clear,29.18,175.41,54,2026-07-04 09:00:00
GEO-0109,Ahmedabad,Gujarat,North,23.031545,72.602974,Expressway,Metro,868,653,80,46.26,Severe,13,Rain,47.48,75.58,30,2026-06-07 13:00:00
GEO-0110,Delhi,Delhi,Central,28.618752,77.199434,Expressway,E-Rickshaw,704,577,179,86.09,Moderate,50,Cloudy,50.9,142.46,41,2026-02-24 14:00:00
GEO-0111,Bengaluru,Karnataka,East,12.969286,77.595196,Highway,Metro,742,1074,476,74.05,High,16,Cloudy,24.98,226.72,49,2026-05-02 04:00:00
GEO-0112,Lucknow,Uttar Pradesh,East,26.813144,81.055577,Ring Road,Train,29,24,281,54.36,Moderate,30,Hazy,85.71,50.54,16,2026-01-09 00:00:00
GEO-0113,Indore,Madhya Pradesh,East,22.733075,75.863372,City Road,Bus,208,202,17,62.8,Moderate,47,Hazy,24.18,56.19,11,2026-03-07 13:00:00
GEO-0114,Chennai,Tamil Nadu,North,13.095807,80.259944,City Road,E-Rickshaw,388,311,429,32.77,High,17,Hazy,19.76,102.91,30,2026-07-23 22:00:00
GEO-0115,Jaipur,Rajasthan,East,26.974219,75.805053,Highway,Metro,941,1327,213,52.63,Low,24,Cloudy,34.86,144.23,21,2026-02-14 22:00:00
GEO-0116,Jaipur,Rajasthan,North,26.908613,75.826779,City Road,E-Rickshaw,92,95,57,23.98,Severe,7,Cloudy,35.94,234.27,57,2026-05-11 22:00:00
GEO-0117,Bengaluru,Karnataka,North,13.047087,77.554292,Expressway,Taxi,790,959,15,47.75,High,22,Rain,57.19,111.59,14,2026-02-19 11:00:00
GEO-0118,Visakhapatnam,Andhra Pradesh,South,17.666326,83.271211,Expressway,Bus,89,127,269,40.39,High,23,Cloudy,14.26,91.98,55,2026-03-30 06:00:00
GEO-0119,Visakhapatnam,Andhra Pradesh,North,17.739844,83.281603,Main Road,Taxi,641,915,480,61.57,High,15,Hazy,71.25,97.69,47,2026-07-08 06:00:00
GEO-0120,Indore,Madhya Pradesh,West,22.725491,75.87777,Expressway,Train,619,605,479,68.3,High,33,Cloudy,7.2,151.71,7,2026-01-30 02:00:00
GEO-0121,Chennai,Tamil Nadu,East,13.057993,80.268887,Ring Road,E-Rickshaw,807,1122,284,99.26,High,16,Clear,4.14,20.24,58,2026-06-15 10:00:00
GEO-0122,Lucknow,Uttar Pradesh,East,26.770526,80.929802,Main Road,Taxi,178,198,311,29.67,High,26,Clear,52.42,123.19,44,2026-06-16 17:00:00
GEO-0123,Indore,Madhya Pradesh,East,22.844353,75.903292,Highway,Train,713,807,144,96.2,Low,63,Rain,12.5,167.3,6,2026-04-01 06:00:00
GEO-0124,Nagpur,Maharashtra,North,21.105908,79.069728,City Road,Train,167,207,193,21.63,High,23,Rain,45.18,129.56,18,2026-01-10 11:00:00
GEO-0125,Bengaluru,Karnataka,North,12.912805,77.568158,Expressway,Metro,747,1065,99,61.79,High,35,Hazy,89.85,180.04,38,2026-03-05 02:00:00
GEO-0126,Mumbai,Maharashtra,North,19.134349,72.808563,Ring Road,Taxi,693,999,457,25.82,High,22,Rain,80.48,200.04,29,2026-04-28 16:00:00
GEO-0127,Bengaluru,Karnataka,East,13.014312,77.626871,City Road,Bus,500,747,165,77.52,Moderate,30,Clear,5.46,103.69,11,2026-04-05 17:00:00
GEO-0128,Bengaluru,Karnataka,East,12.941497,77.630097,Ring Road,E-Rickshaw,811,1114,244,89.19,Moderate,52,Rain,5.24,238.48,33,2026-07-01 16:00:00
GEO-0129,Bengaluru,Karnataka,East,12.942769,77.551924,Main Road,E-Rickshaw,798,609,452,45.77,High,24,Clear,86.67,239.62,43,2026-01-22 16:00:00
GEO-0130,Bengaluru,Karnataka,North,13.056189,77.610778,Highway,Train,551,672,20,23.95,High,25,Hazy,0.41,205.04,44,2026-03-17 03:00:00
GEO-0131,Hyderabad,Telangana,South,17.357997,78.491909,Expressway,Metro,643,858,320,75.54,High,28,Clear,75.08,216.32,49,2026-02-08 04:00:00
GEO-0132,Pune,Maharashtra,Central,18.462433,73.896823,City Road,Bus,795,603,339,60.59,Low,44,Rain,66.49,116.56,15,2026-02-18 17:00:00
GEO-0133,Delhi,Delhi,South,28.516227,77.209835,Expressway,Bus,767,836,305,69.22,High,24,Rain,15.44,73.81,31,2026-01-02 20:00:00
GEO-0134,Nagpur,Maharashtra,North,21.169952,79.161693,Main Road,Auto,155,195,118,51.57,Moderate,55,Clear,68.37,22.05,44,2026-06-18 05:00:00
GEO-0135,Ahmedabad,Gujarat,South,23.046161,72.531019,Ring Road,Bus,699,957,391,94.33,Low,68,Rain,48.57,49.39,19,2026-03-20 04:00:00
GEO-0136,Delhi,Delhi,South,28.640146,77.230911,City Road,Metro,106,133,289,94.61,Moderate,45,Hazy,65.37,227.66,45,2026-02-05 11:00:00
GEO-0137,Surat,Gujarat,North,21.216172,72.807323,Main Road,Train,417,362,330,33.83,Moderate,53,Rain,79.11,180.56,28,2026-04-29 16:00:00
GEO-0138,Surat,Gujarat,Central,21.222931,72.900014,Ring Road,Metro,420,508,294,50.49,Moderate,38,Hazy,96.89,71.3,54,2026-02-27 12:00:00
GEO-0139,Indore,Madhya Pradesh,North,22.802588,75.8696,Highway,Bus,363,393,175,17.15,Moderate,55,Cloudy,33.37,49.66,21,2026-02-03 08:00:00
GEO-0140,Delhi,Delhi,Central,28.64139,77.186698,Highway,Bus,135,181,343,29.64,High,24,Cloudy,81.22,244.84,15,2026-06-28 03:00:00
GEO-0141,Kochi,Kerala,East,9.960694,76.236085,City Road,Bus,270,234,159,24.29,Low,41,Cloudy,86.78,43.84,54,2026-04-21 09:00:00
GEO-0142,Kochi,Kerala,East,9.962067,76.354036,City Road,Train,240,322,291,43.84,High,22,Hazy,44.08,145.61,10,2026-04-06 18:00:00
GEO-0143,Ahmedabad,Gujarat,West,23.047377,72.565653,City Road,Metro,567,781,93,65.31,Moderate,46,Hazy,27.39,27.48,36,2026-01-07 18:00:00
GEO-0144,Bengaluru,Karnataka,East,12.934014,77.580526,Highway,E-Rickshaw,61,82,335,43.28,High,27,Rain,31.78,92.95,32,2026-04-12 08:00:00
GEO-0145,Mumbai,Maharashtra,East,19.050419,72.869688,Expressway,Taxi,974,1287,215,74.81,High,34,Clear,65.32,223.94,13,2026-01-03 04:00:00
GEO-0146,Kolkata,West Bengal,South,22.581091,88.365886,Expressway,Metro,834,1095,470,28.17,Moderate,55,Cloudy,84.18,26.23,41,2026-04-16 09:00:00
GEO-0147,Coimbatore,Tamil Nadu,North,10.986791,76.919436,Main Road,Auto,647,868,243,92.07,High,32,Clear,17.07,34.19,21,2026-01-02 23:00:00
GEO-0148,Pune,Maharashtra,North,18.532292,73.892923,City Road,Taxi,698,869,163,54.69,High,29,Hazy,53.87,38.06,39,2026-04-07 05:00:00
GEO-0149,Indore,Madhya Pradesh,Central,22.71899,75.92618,Highway,Taxi,675,967,494,23.85,High,23,Rain,16.04,62.41,50,2026-03-01 03:00:00
GEO-0150,Hyderabad,Telangana,North,17.385637,78.469415,Expressway,Metro,407,410,349,52.48,Severe,15,Hazy,93.33,29.87,44,2026-06-16 00:00:00
GEO-0151,Indore,Madhya Pradesh,East,22.742952,75.809725,Expressway,E-Rickshaw,507,740,455,36.75,Low,29,Hazy,70.15,231.67,22,2026-06-09 05:00:00
GEO-0152,Indore,Madhya Pradesh,South,22.661675,75.874333,Expressway,Bus,673,594,448,93.88,Low,19,Cloudy,52.37,171.01,29,2026-01-15 20:00:00
GEO-0153,Delhi,Delhi,West,28.563087,77.2378,Highway,Train,687,932,379,46.25,High,21,Clear,14.16,127.61,17,2026-03-20 09:00:00
GEO-0154,Jaipur,Rajasthan,North,26.94749,75.752564,Expressway,Auto,444,628,328,63.05,Moderate,34,Rain,69.92,164.2,53,2026-02-11 09:00:00
GEO-0155,Kolkata,West Bengal,North,22.527809,88.362183,City Road,Metro,224,263,379,88.48,Low,8,Cloudy,22.55,159.93,50,2026-05-16 05:00:00
GEO-0156,Indore,Madhya Pradesh,Central,22.648909,75.864622,Expressway,Taxi,336,278,296,35.84,Moderate,40,Clear,4.16,84.48,46,2026-02-10 19:00:00
GEO-0157,Visakhapatnam,Andhra Pradesh,South,17.641382,83.202461,Highway,Bus,756,750,211,84.47,Low,19,Rain,10.45,162.17,32,2026-04-06 01:00:00
GEO-0158,Coimbatore,Tamil Nadu,Central,10.968432,76.945981,Highway,E-Rickshaw,86,76,58,79.36,Low,24,Clear,75.37,102.66,28,2026-07-07 15:00:00
GEO-0159,Delhi,Delhi,East,28.627183,77.240062,Main Road,Metro,345,336,287,52.29,Moderate,49,Hazy,66.64,219.62,35,2026-07-13 18:00:00
GEO-0160,Bengaluru,Karnataka,North,12.981063,77.521608,Expressway,Bus,561,592,417,21.27,Severe,13,Cloudy,20.49,124.23,49,2026-01-25 06:00:00
GEO-0161,Bengaluru,Karnataka,East,12.991071,77.51076,Ring Road,Auto,379,563,388,19.81,Low,23,Cloudy,98.2,29.55,42,2026-03-02 12:00:00
